id,k9_key,composition,place,k1,k6,key_sig,year,date_text,age,category,type,created_at,spotify_track_id
633,546a,Allegro for Piano & Violin in G (fragment),Vienna,Anh. 47,546a,G Major,1788,Summer 1787,32,Chamber Music,Sonatas and Variations for Piano and Violin,2025-09-05 20:46:27.448184+00,
634,547,"Violin Sonata No. 36 in F, ""für Anfänger""",Vienna,547,547,F Major,1788,10 July 1788,32,Chamber Music,Sonatas and Variations for Piano and Violin,2025-09-05 20:46:27.448184+00,
635,547a,Piano Sonata in F (fragment?),Vienna,Anh. 135,547a,F Major,1788,July 1788,32,Piano Music,Piano sonatas,2025-09-05 20:46:27.448184+00,
636,548,Piano Trio No. 5 in C,Vienna,548,548,C Major,1788,14 July 1788,32,Chamber Music,"Quintets, quartets and trios with piano",2025-09-05 20:46:27.448184+00,
637,549,"Canzonetta for two Sopranos and Bass, ""Piu non si trovano""",Vienna?,549,549,,1788,16 July 1788,32,Vocal Music (smaller forms),Notturni & Polyphonic singing,2025-09-05 20:46:27.448184+00,
638,550,"Symphony No. 40 in G minor, ""Great G minor Symphony""",Vienna,550,550,G Minor,1788,25 July 1788,32,Orchestral Music,Symphonies,2025-09-05 20:46:27.448184+00,
639,551,"Symphony No. 41 in C, ""Jupiter""",Vienna,551,551,C Major,1788,10 August 1788,32,Orchestral Music,Symphonies,2025-09-05 20:46:27.448184+00,
640,552,"Song, ""Beim Auszug in das Feld""",Vienna,552,552,,1788,11 August 1788,32,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
641,553,"Canon in C for 4 voices in 1, ""Alleluia""",Vienna,553,553,C Major,1788,2 September 1788,32,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
642,554,"Canon in F for 4 voices in 1, ""Ave Maria""",Vienna,554,554,F Major,1788,2 September 1788,32,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
643,555,"Canon in A minor for 4 voices in 1, ""Lacrimoso son'io""",Vienna,555,555,A Minor,1788,2 September 1788,32,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
644,556,"Canon in G for 4 voices in 1, ""Grechtelt's enk""",Vienna,556,556,G Major,1788,2 September 1788,32,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
645,557,"Canon in F minor for 4 voices in 1, ""Nascoso e il mio sol""",Vienna,557,557,F Minor,1788,2 September 1788,32,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
646,558,"Canon in B-flat for 4 voices in 1, ""Gehen wir im Prater""",Vienna,558,558,B Flat Major,1788,2 September 1788,32,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
647,559,"Canon in F for 3 voices in 1, ""Difficile lectu mihi Mars""",Vienna,559,559,F Major,1788,2 September 1788,32,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
648,560,"Canon in F for 4 voices in 1, ""O du eselhafter Peierl""",Vienna,560a,559a,F Major,1788,2 September 1788,32,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
649,560,"Canon in F for 4 voices in 1, ""O du eselhafter Martin""",Vienna,560b,560,F Major,1788,2 September 1788,32,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
650,561,"Canon in A for 4 voices in 1, ""Bona nox! bist a rechta Ox""",Vienna,561,561,A Major,1788,2 September 1788,32,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
651,562,"Canon in A for 3 voices in 1, ""Caro bell'idol mio""",Vienna,562,562,A Major,1788,2 September 1788,32,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
652,562a,Canon,Vienna,,,B Flat Major,1788,,32,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
653,562c,Canon in C for 4 voices in 1,Vienna,Anh. 191,562c,C Major,1780,September 1788,24,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
654,562e,String Trio in G (in conjunction with K. 563),Vienna,Anh. 66,562e,G Major,1788,September 1788,32,Chamber Music,Duos and Trios for Strings and Winds,2025-09-05 20:46:27.448184+00,
655,563,Divertimento in E-flat (Trio in E-flat),Vienna,563,563,E Flat Major,1788,27 September 1788,32,Chamber Music,Duos and Trios for Strings and Winds,2025-09-05 20:46:27.448184+00,
656,564,Piano Trio No. 6 in G,Vienna,564,564,G Major,1788,27 October 1788,32,Chamber Music,"Quintets, quartets and trios with piano",2025-09-05 20:46:27.448184+00,
657,565,2 Contredanses (lost),Vienna,565,565,,1788,30 October 1788,32,,,2025-09-05 20:46:27.448184+00,
658,565a,Contredanse in D (fragment),Vienna,nan,565a,D Major,1788,October 1788,32,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
659,566,"Instrumentation of Handel's ""Acis & Galatea""",Vienna,,,,1788,,32,Supplement,Supplement,2025-09-05 20:46:27.448184+00,
660,567,6 German Dances,Vienna,567,567,,1788,6 December 1788,32,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
661,568,12 Minuets,Vienna,568,568,,1788,24 December 1788,32,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
662,569,"Aria ""Ohne Zwang"" (lost)",Vienna,569,569,,1789,1789,33,,,2025-09-05 20:46:27.448184+00,
663,569a,Sonata movement for Piano in B-flat (fragment),Vienna,Anh. 31,569a,B Flat Major,1787,1787-1789,31,Piano Music,Piano sonatas,2025-09-05 20:46:27.448184+00,
664,570,Piano Sonata No. 17 in B-flat,Vienna,570,570,B Flat Major,1789,February 1789,33,Piano Music,Piano sonatas,2025-09-05 20:46:27.448184+00,
665,571,6 German Dances for Orchestra,Vienna,571,571,,1789,21 February 1789,33,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
666,571A,Minuet in A (fragment),Vienna,Anh. 106,571A,A Major,1789,February 1789,33,Vocal Music (smaller forms),Notturni & Polyphonic singing,2025-09-05 20:46:27.448184+00,
667,571a,"Quartet for Soprano, two Tenors and Bass, ""Caro mio Druck und Schluck""",Vienna?,Anh. 5,571a,,1789,c. 1789,33,Vocal Music (smaller forms),Notturni & Polyphonic singing,2025-09-05 20:46:27.448184+00,
668,572,"Instrumentation of Handel's ""The Messiah""",Vienna,,,,1789,,33,Supplement,Supplement,2025-09-05 20:46:27.448184+00,
669,572a,Double canon for six voices (lost or unidentified),Leipzig,Anh. 4,572a,,1789,March 1789,33,,,2025-09-05 20:46:27.448184+00,
670,573,9 Variations in D,Potsdam,573,573,D Major,1789,29 April 1789,33,Piano Music,Variations for Piano,2025-09-05 20:46:27.448184+00,
671,574,Kleine Gigue in G for Piano,Leipzig,574,574,G Minor,1789,16 May 1789,33,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
672,575,"String Quartet No. 21 in D, first of the three ""Prussian Quartets""",Vienna,575,575,D Major,1789,June 1789,33,Chamber Music,String Quartets and Quartets with a Wind Instrument,2025-09-05 20:46:27.448184+00,
673,576,Piano Sonata No. 18 in D,Vienna,576,576,D Major,1789,July 1789,33,Piano Music,Piano sonatas,2025-09-05 20:46:27.448184+00,
674,576a,Menuet for Piano,Vienna,,,D Major,1789,,33,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
675,577,"Rondo for Soprano, ""Al desio, di chi t'adora""",Vienna,577,577,,1789,July 1789,33,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
676,578,"Aria for Soprano, ""Alma grande e nobil core""",Vienna,578,578,,1789,August 1789,33,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
677,579,"Aria for Soprano, ""Un moto di gioia mi sento""",Vienna,579,579,,1789,August 1789,33,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
678,580,"Aria for Soprano, ""Schon lacht der holde Frühling""",Vienna,580,580,,1789,17 September 1789,33,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
679,580a,Adagio for Winds in F,Vienna,Anh. 94,580a,F Major,1789,September 1789,33,Divertimenti/Serenades,Divertimenti and serenades for wind instruments,2025-09-05 20:46:27.448184+00,
680,580b,Movement for a Clarinet Quintet in F,Vienna,Anh. 90,580b,F Major,1789,September 1789,33,Chamber Music,String quintets and quintets with winds,2025-09-05 20:46:27.448184+00,
681,581,Clarinet Quintet in A,Vienna,581,581,A Major,1789,29 September 1789,33,Chamber Music,String quintets and quintets with winds,2025-09-05 20:46:27.448184+00,
682,581a,Movement for a Clarinet Quintet in A,Vienna,Anh. 88,581a,A Major,1789,September 1789,33,Chamber Music,String quintets and quintets with winds,2025-09-05 20:46:27.448184+00,
683,582,"Aria for Soprano, ""Chi sà, chi sà, qual sia""",Vienna,582,582,,1789,October 1789,33,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
684,583,"Aria for Soprano, ""Vado, ma dove? -- oh Dei!""",Vienna,583,583,,1789,October 1789,33,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
685,584,"Aria for bass, ""Rivolgete a lui lo sguardo""",Vienna,584,584,,1789,December 1789,33,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
686,584b,Basset horn Concerto in G (fragment),Vienna,584b,621b,G Major,1787,October 1791,31,Concertos,"Concertos for one or more string, wind",2025-09-05 20:46:27.448184+00,
687,585,12 Minuets,Vienna,585,585,,1789,December 1789,33,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
688,586,12 German Dances,Vienna,586,586,,1789,December 1789,33,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
689,587,"Contredanse in C, ""Der Sieg vom Helden Koburg""",Vienna,587,587,C Major,1789,December 1789,33,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
690,587a,Allegro for String Quartet in G minor (fragment),Vienna,Anh. 85,587a,G Minor,1789,End 1789,33,Chamber Music,String Quartets and Quartets with a Wind Instrument,2025-09-05 20:46:27.448184+00,
691,588,Così fan tutte,Vienna,588,588,,1790,26 January 1790,34,Vocal Music with Orchestra,Operas and Singspiels,2025-09-05 20:46:27.448184+00,
692,589,"String Quartet No. 22 in B-flat, second of three ""Prussian Quartets""",Vienna,589,589,B Flat Major,1790,May 1790,34,Chamber Music,String Quartets and Quartets with a Wind Instrument,2025-09-05 20:46:27.448184+00,
693,589a,Movement for a String Quintet B-flat (in conjunction with K. 590),Vienna,Anh. 68,589a,B Flat Major,1782,May 1790,26,Chamber Music,String Quartets and Quartets with a Wind Instrument,2025-09-05 20:46:27.448184+00,
694,589b,Movement for a String Quintet F (in conjunction with K. 590),Vienna,Anh. 73,589b,,1790,May 1790,34,,,2025-09-05 20:46:27.448184+00,
695,590,"String Quartet No. 23 in F, third of the three ""Prussian Quartets""",Vienna,590,590,F Major,1790,June 1790,34,Chamber Music,String Quartets and Quartets with a Wind Instrument,2025-09-05 20:46:27.448184+00,
696,590a,Sonata movement for Piano in F (fragment),Vienna,Anh. 29,590a,F Major,1787,1787-1789,31,Piano Music,Piano sonatas,2025-09-05 20:46:27.448184+00,
697,590b,Rondo for Piano in F (fragment),Vienna,Anh. 30,590b,F Major,1787,1787-1789,31,Piano Music,Piano sonatas,2025-09-05 20:46:27.448184+00,
698,590c,Rondo for Piano in F (fragment),Vienna,Anh. 37,590c,F Major,1787,1787-1789,31,Piano Music,Piano sonatas,2025-09-05 20:46:27.448184+00,
699,591,"Instrumentation of Handel's ""Alexander's Feast""",Vienna,,,,1790,,34,Supplement,Supplement,2025-09-05 20:46:27.448184+00,
700,592,"Instrumentation of Handel's ""Ode to Saint Cecilia""",Vienna,,,,1790,,34,Supplement,Supplement,2025-09-05 20:46:27.448184+00,
701,592b,Movement for a String Quintet in D (draft for K. 593),Vienna,Anh. 83,592b,D Major,1787,August 1790,31,Chamber Music,String quintets and quintets with winds,2025-09-05 20:46:27.448184+00,
702,593,String Quintet No. 5 in D,Vienna,593,593,D Major,1790,December 1790,34,Chamber Music,String quintets and quintets with winds,2025-09-05 20:46:27.448184+00,
703,593a,Adagio for Organ in D minor (fragment),Vienna,Anh. 35,593a,D Minor,1790,December 1790,34,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
704,594,Adagio and Allegro in F minor for Mechanical Organ,Vienna and ?,594,594,F Minor,1790,October - December 1790,34,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
705,595,Piano Concerto No. 27 in B-flat,Vienna,595,595,B Flat Major,1791,5 January 1791,35,Concertos,Concertos for piano,2025-09-05 20:46:27.448184+00,
706,596,"Song, ""Sehnsucht nach dem Frühling""",Vienna,596,596,,1791,14 January 1791,35,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
707,597,"Song, ""Im Frülingsanfang""",Vienna,597,597,,1791,14 January 1791,35,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
708,598,"Song, ""Das Kinderspiel""",Vienna,598,598,,1791,14 January 1791,35,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
709,599,6 Minuets,Vienna,599,599,,1791,23 January 1791,35,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
710,6,Violin Sonata No. 1 in C,Salzburg or Paris,6,6,C Major,1764,1762-64,8,Chamber Music,Sonatas and Variations for Piano and Violin,2025-09-05 20:46:27.448184+00,
711,600,6 German Dances,Vienna,600,600,,1791,29 January 1791,35,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
712,601,4 Minuets,Vienna,601,601,,1791,5 February 1791,35,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
713,602,4 German Dances,Vienna,602,602,,1791,5 February 1791,35,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
714,603,2 Contredanses,Vienna,603,603,,1791,5 February 1791,35,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
715,604,2 Minuets,Vienna,604,604,,1791,12 February 1791,35,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
716,605,3 German Dances,Vienna,605,605,,1791,12 February 1791,35,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
717,606,"6 ""Ländler""",Vienna,606,606,B Flat Major,1791,28 February 1791,35,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
718,607,"Contredanse, ""Il Trionfo delle Donne"" (fragment)",Vienna,607,605a,E Flat Major,1791,28 February 1791,35,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
719,608,Fantasia in F minor for a Mechanical Organ,Vienna,608,608,F Minor,1791,3 March 1791,35,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
720,609,5 Contredanses,Vienna,609,609,,1791,1791,35,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
721,610,"Contredanse, ""Les filles malicieuses""",Vienna,610,610,G Major,1787,6 March 1791,31,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
722,611,German Dance,Vienna,611,611,,1791,6 March 1791,35,,,2025-09-05 20:46:27.448184+00,
723,612,"Aria for Bass, ""Per questa bella mano""",Vienna,612,612,,1791,8 March 1791,35,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
724,613,"8 Variations in F on ""Ein Weib ist das herrlichste Ding""",Vienna,613,613,F Major,1791,March 1791,35,Piano Music,Variations for Piano,2025-09-05 20:46:27.448184+00,
725,613a,Allegro for String Quintet in E-flat (fragment),Vienna,Anh. 81,613a,E Flat Major,1784,March 1791,28,Chamber Music,String quintets and quintets with winds,2025-09-05 20:46:27.448184+00,
726,613b,Allegro for String Quintet in E-flat (fragment),Vienna,Anh. 82,613b,E Flat Major,1786,March 1791,30,Chamber Music,String quintets and quintets with winds,2025-09-05 20:46:27.448184+00,
727,614,String Quintet No. 6 in E-flat,Vienna,614,614,E Flat Major,1791,12 April 1791,35,Chamber Music,String quintets and quintets with winds,2025-09-05 20:46:27.448184+00,
728,615,"Chorus ""Viviamo felici"" (lost)",Vienna,615,615,,1791,1791,35,,,2025-09-05 20:46:27.448184+00,
729,615a,Andante in F for a Small Mechanical Organ,Vienna,nan,615a,F Major,1791,1791,35,,,2025-09-05 20:46:27.448184+00,
730,616,Andante in F for a Small Mechanical Organ,Vienna,616,616,F Major,1791,4 May 1791,35,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
731,616a,"Fantasia in C for glass harmonica, flute, oboe, viola, and cello (fragment)",Vienna,nan,616a,C Major,1791,April-June 1791,35,,,2025-09-05 20:46:27.448184+00,
732,617,"Adagio and Rondo for glass harmonica, flute, oboe, viola and cello",Vienna,617,617,C Minor,1791,23 May 1791,35,Chamber Music,"Quintets, quartets and trios with piano",2025-09-05 20:46:27.448184+00,
733,618,"Motet in D, ""Ave verum Corpus""",Baden,618,618,D Major,1791,17 June 1791,35,Sacred Works,Smaller Church Works,2025-09-05 20:46:27.448184+00,
734,619,"Cantata, ""Die ihr des unermeßlichen Weltalls""",Vienna,619,619,,1791,July 1791,35,Sacred Works,"Oratorios, Sacred Singspiels and Cantatas",2025-09-05 20:46:27.448184+00,
735,"61g,01","2 Minuets (the second one is now K9 Anh.A 25, because it is actually by Michael Haydn)",Salzburg,nan,61g,,1769,1769,13,,,2025-09-05 20:46:27.448184+00,
736,61h,6 Minuets,Salzburg,nan,61h,,1769,1769,13,,,2025-09-05 20:46:27.448184+00,
737,62,March in D,Salzburg,62,62,D Major,1769,Summer 1769,13,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
738,620,Die Zauberflöte,Vienna,620,620,,1791,30 September 1791,35,Vocal Music with Orchestra,Operas and Singspiels,2025-09-05 20:46:27.448184+00,
739,620a,Overture in E-flat (draft to Die Zauberflöte),Vienna,Anh. 102,620a,E Flat Major,1791,September 1791,35,,,2025-09-05 20:46:27.448184+00,
740,621,La clemenza di Tito,Prague,621,621,,1791,6 September 1791,35,Vocal Music with Orchestra,Operas and Singspiels,2025-09-05 20:46:27.448184+00,
741,621a,"Aria for Bass, ""Io ti lascio, o cara, addio""",Prague?,Anh. 245,621a,,1791,c. September 1791,35,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
742,622,Clarinet Concerto in A,Vienna,622,622,A Major,1791,October 1791,35,Concertos,"Concertos for one or more string, wind",2025-09-05 20:46:27.448184+00,
743,623,Little Masonic Cantata [es],Vienna,623,623,,1791,15 November 1791,35,Sacred Works,"Oratorios, Sacred Singspiels and Cantatas",2025-09-05 20:46:27.448184+00,
744,623a,"Song, ""Laßt uns mit geschlungnen Händen"" (intended final chorus to K. 623; doubtful)",Vienna,nan,623a,,1791,November 1791,35,Supplement,Supplement,2025-09-05 20:46:27.448184+00,
745,625,"Comic duet ""Nun liebes Weibchen""",Vienna,,,,1790,,34,Supplement,Supplement,2025-09-05 20:46:27.448184+00,
746,626,Requiem in D minor,Vienna,626,626,D Minor,1791,October-December 1791,35,Sacred Works,Masses and Requiem,2025-09-05 20:46:27.448184+00,
747,626a,Modulating Prelude,Salzburg,,,G Major,1776,,20,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
748,626b,Fugue,Vienna,,,C Minor,1780,,24,Supplement,Supplement,2025-09-05 20:46:27.448184+00,
749,626b/01,Four sketch leaves (lost),nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
750,"626b/03,01","Sketch leaf (doubtful, lost)",nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
751,"626b/03,02","Sketch leaf (doubtful, lost)",nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
752,"626b/03,03",Sketch leaf,nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
753,626b/05,"""Musique"" (lost)",nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
754,626b/15,Untitled (lost),nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
755,626b/22,"""Fragment of a duetto"" (lost)",nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
756,626b/49,"""Marcia"" (lost)",nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
757,626b/50,"""Sketch leaf"" (lost)",nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
758,626b/51,"""A few bars of music"" (lost)",nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
759,626b/52,"""Musical manuscript"" (lost)",nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
760,626b/53,"""Viola part for a contradance"" (lost)",nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
761,626b/55,"""Autograph musical manuscript"" (lost)",nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
762,626b/56,"""Autograph musical manuscript"" (lost)",nan,nan,nan,,,nan,,,,2025-09-05 20:46:27.448184+00,
763,626c,Finger Exercises,Vienna,,,,1780,,24,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
764,627,Clavier concerto movement (lost),Salzburg,nan,nan,,1763,9 June 1763,7,,,2025-09-05 20:46:27.448184+00,
765,628,Divertimento in C for piano four hands (lost),London,nan,nan,C Major,1764,1764-1765,8,,,2025-09-05 20:46:27.448184+00,
766,629,Two piano pieces (second is a fragment),nan,nan,nan,,1765,1765,9,,,2025-09-05 20:46:27.448184+00,
767,63,Cassation in G,Salzburg,63,63,G Major,1769,Summer 1769,13,Orchestral Music,"Cassations, Serenades and Divertimenti for orchestra",2025-09-05 20:46:27.448184+00,
768,630,Violin Sonata in D major (doubtful),nan,nan,nan,D Major,1766,1766,10,,,2025-09-05 20:46:27.448184+00,
769,631,Arias for voice and orchestra (lost),"London, The Hague",nan,nan,,1765,1765-1766,9,,,2025-09-05 20:46:27.448184+00,
770,632,Instrumental piece in C (doubtful),nan,nan,nan,C Major,1765,1765-1766,9,,,2025-09-05 20:46:27.448184+00,
771,633,"Aria ""Quel destrier che all'albergo è vicino"" (doubtful, lost)","London, The Hague",nan,nan,,1765,1765-1766,9,,,2025-09-05 20:46:27.448184+00,
772,634,Polonaise in F (doubtful),nan,nan,nan,F Major,1767,1767,11,,,2025-09-05 20:46:27.448184+00,
773,635,"Piano Piece in G (fragment, doubtful)",Salzburg,nan,nan,G Major,1767,1767,11,,,2025-09-05 20:46:27.448184+00,
774,636,Concerto movement in G (doubtful),Salzburg,nan,nan,G Major,1767,1767,11,,,2025-09-05 20:46:27.448184+00,
775,637,"Song ""Oragna figata fa marina gamina fa"" for 1 or 2 voices (fragment)",nan,nan,nan,,1766,1766,10,,,2025-09-05 20:46:27.448184+00,
776,638,Instrumental piece in G-sharp minor for orchestra,nan,nan,nan,G Sharp Minor,1766,1766,10,,,2025-09-05 20:46:27.448184+00,
777,639,"Piece for Maximilian III Joseph, Elector of Bavaria (lost)",nan,nan,nan,,1766,9 November 1766,10,,,2025-09-05 20:46:27.448184+00,
778,640,Solos for violin (lost),nan,nan,nan,,1766,1766 - September 1768,10,,,2025-09-05 20:46:27.448184+00,
779,641,Solos for viola da gamba (lost),nan,nan,nan,,1766,1766 - September 1768,10,,,2025-09-05 20:46:27.448184+00,
780,642,Aria for Nepomucena Wolff (lost),Olomouc,nan,nan,,1767,1767,11,,,2025-09-05 20:46:27.448184+00,
781,643,Symphonies (lost),nan,nan,nan,,1768,1768,12,,,2025-09-05 20:46:27.448184+00,
782,644,Arias (lost),Vienna,nan,nan,,1768,July 1768,12,,,2025-09-05 20:46:27.448184+00,
783,645,Six trios for two violins and cello (lost),nan,nan,nan,,1768,September 1768,12,,,2025-09-05 20:46:27.448184+00,
784,646,"Aria ""Cara, se le mie pene"" for soprano and orchestra",nan,nan,nan,,1769,1769,13,,,2025-09-05 20:46:27.448184+00,
785,647,Aria in D for soprano and orchestra (fragment),nan,nan,nan,D Major,1769,1769,13,,,2025-09-05 20:46:27.448184+00,
786,648,"Serenade in C ""Ganz kleine Nachtmusik"" for two violins and bass",nan,nan,nan,C Major,1766,1766-1769,10,,,2025-09-05 20:46:27.448184+00,
787,649,Piano piece in C (doubtful),nan,nan,nan,C Major,1769,1769,13,,,2025-09-05 20:46:27.448184+00,
788,65,Missa brevis in D minor,Salzburg,65,61a,D Minor,1769,14 January 1769,13,Sacred Works,Masses and Requiem,2025-09-05 20:46:27.448184+00,
789,650,Allegro in C for clavier (doubtful),nan,nan,nan,C Major,1769,1769,13,,,2025-09-05 20:46:27.448184+00,
790,651,Two Latin motets for soprano and orchestra (lost),Milan,nan,nan,,1770,February 1770,14,,,2025-09-05 20:46:27.448184+00,
791,652,"Motet ""Venti, fulgura, procellae"" for soprano and orchestra (doubtful)",Milan,nan,nan,,1770,1770-1780,14,,,2025-09-05 20:46:27.448184+00,
792,653,Cassation in C (lost),nan,nan,nan,C Major,1764,1764 - September 1771,8,,,2025-09-05 20:46:27.448184+00,
793,654,"Offertory ""O supremum coeli Numen"" (doubtful)",nan,nan,nan,,1771,1771,15,,,2025-09-05 20:46:27.448184+00,
794,655,Two Church Sonatas in D and G (lost),Salzburg,nan,nan,D Major,1771,1771,15,,,2025-09-05 20:46:27.448184+00,
795,656,Piano piece in C (fragment),nan,nan,nan,C Major,1771,1771,15,,,2025-09-05 20:46:27.448184+00,
796,657,Nine piano pieces (doubtful),Milan,nan,nan,,1771,7 September 1771,15,,,2025-09-05 20:46:27.448184+00,
797,658,"Ballet for ""Ascanio in Alba"" K. 111 (fragment, doubtful)",Milan,Anh. 207,Anh. C 27.06,,1771,1771,15,,,2025-09-05 20:46:27.448184+00,
798,659,Twelve variations for clavier (doubtful),Milan,Anh. 207,Anh. C 27.06,,1771,1771,15,,,2025-09-05 20:46:27.448184+00,
799,65a,7 Minuets,Salzburg,nan,61b,,1769,26 January 1769,13,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
800,66,"Missa in C, ""Dominicus""",Salzburg,66,66,C Major,1769,October 1769,13,Sacred Works,Masses and Requiem,2025-09-05 20:46:27.448184+00,
801,660,Fugue in D minor for clavier (fragment),Salzburg,nan,nan,D Minor,1771,1771-1773,15,,,2025-09-05 20:46:27.448184+00,
802,661,Four minuets for dance ensemble (fourth is a fragment),Salzburg,nan,nan,,1772,June 1772,16,,,2025-09-05 20:46:27.448184+00,
803,662,"Twelve songs for voice and ""Harmoniale"" (doubtful)",Salzburg or Vienna,nan,nan,,1774,1774,18,,,2025-09-05 20:46:27.448184+00,
804,663,Orchestral piece in E-flat (fragment),nan,nan,nan,E Flat Major,1773,1773,17,,,2025-09-05 20:46:27.448184+00,
805,664,"Melodic notation in B-flat, probably for dance ensemble ""Le matelot"" (fragment)",Salzburg,nan,nan,B Flat Major,1773,1773,17,,,2025-09-05 20:46:27.448184+00,
806,665,Trio in C,nan,nan,nan,C Major,1773,1773,17,,,2025-09-05 20:46:27.448184+00,
807,666,Divertimento in D for two solo violins and orchestra (fragment),nan,KV3 Anh. 223c,Anh. A 50,D Major,1773,1773-1775,17,,,2025-09-05 20:46:27.448184+00,
808,667,"Recitative ""Campagne amene"" for soprano and orchestra (for K. 208 No. 3)",Salzburg,nan,nan,,1775,1775,19,,,2025-09-05 20:46:27.448184+00,
809,668,Operetta (lost),Salzburg,nan,nan,,1776,19 February 1776,20,,,2025-09-05 20:46:27.448184+00,
810,669,Vocal movement in C,Salzburg,nan,nan,C Major,1776,1776,20,,,2025-09-05 20:46:27.448184+00,
