id,k9_key,composition,place,k1,k6,key_sig,year,date_text,age,category,type,created_at,spotify_track_id
512,471,"Cantata, Die Maurerfreude  (Score)",Vienna,471,471,,1785,20 April 1785,29,Sacred Works,"Oratorios, Sacred Singspiels and Cantatas",2025-09-05 20:46:27.448184+00,
513,472,"Song, ""Der Zauberer""",Vienna,472,472,,1785,7 May 1785,29,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
514,473,"Song, ""Die Zufriedenheit""",Vienna,473,473,,1785,7 May 1785,29,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
515,474,"Song, ""Die betrogene Welt""",Vienna,474,474,,1785,7 May 1785,29,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
516,475,Fantasia for Piano in C minor,Vienna,475,475,C Minor,1785,20 May 1785,29,Piano Music,Piano sonatas,2025-09-05 20:46:27.448184+00,
517,475a,"Song, ""Einsam bin ich, meine Liebe"" in D minor (fragment, doubtful)",Vienna,Anh. 26,475a,D Minor,1785,1785?,29,,,2025-09-05 20:46:27.448184+00,
518,476,"Song, ""Das Veilchen""",Vienna,476,476,,1785,8 June 1785,29,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
519,477,Maurerische Trauermusik (Masonic Funeral Music),Vienna,477,479a,C Minor,1785,November 1785,29,Orchestral Music,Symphonies,2025-09-05 20:46:27.448184+00,
520,477a,"Cantata, ""Per la ricuperata salute di Ofelia"" (fragment)",Vienna,Anh. 11a,477a,,1785,September 1785,29,Supplement,Supplement,2025-09-05 20:46:27.448184+00,
521,478,Piano Quartet No. 1 in G minor,Vienna,478,478,G Minor,1785,16 October 1785,29,Chamber Music,"Quintets, quartets and trios with piano",2025-09-05 20:46:27.448184+00,
522,479,"Quartet for soprano, tenor and two basses, ""Dite almeno in che mancai"" (Score), for La villanella rapita (1785)",Vienna,479,479,,1785,5 November 1785,29,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
523,47b,"Offertorium in C, ""Benedictus sit Deus"" (lost)",Vienna,nan,47b,C Major,1768,October/November 1768,12,,,2025-09-05 20:46:27.448184+00,
524,47c,Trumpet Concerto (lost),Vienna,nan,47c,,1768,Autumn 1768,12,,,2025-09-05 20:46:27.448184+00,
525,48,Symphony No. 8 in D,Vienna,48,48,D Major,1768,13 December 1768,12,Orchestral Music,Symphonies,2025-09-05 20:46:27.448184+00,
526,480,"Trio for soprano, tenor and bass, ""Mandina amabile"" (Score), for La villanella rapita (1785)",Vienna,480,480,,1785,21 November 1785,29,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
527,480a,Allegro for Piano and Violin (fragment),Vienna,Anh.48/480a,385E,A Major,1782,1782,26,Chamber Music,Sonatas and Variations for Piano and Violin,2025-09-05 20:46:27.448184+00,
